Date,HourEnding,TotalResourceMW,TotalIRRMW,TotalNewEquipResourceMW
02/17/2021,23,25996,19000,3276
02/17/2021,24,21825,17702,3276
02/18/2021,01,22438,17702,3276
02/18/2021,02,22438,17702,3276
02/18/2021,03,22438,17119,3276
02/18/2021,04,22438,17119,3276
02/18/2021,05,22438,17119,3276
02/18/2021,06,22438,16965,3276
02/18/2021,07,22438,16965,3276
02/18/2021,08,22438,17044,3276
02/18/2021,09,22448,16884,3276
02/18/2021,10,20808,16884,3276
02/18/2021,11,20491,16584,3276
02/18/2021,12,20491,16584,3276
02/18/2021,13,20322,16435,3276
02/18/2021,14,20322,16435,3276
02/18/2021,15,20322,16435,3276
02/18/2021,16,20322,16305,3276
02/18/2021,17,20284,14346,3276
02/18/2021,18,20226,13900,3276
02/18/2021,19,20226,13026,3276
02/18/2021,20,20226,13386,3276
02/18/2021,21,20226,13288,3276
02/18/2021,22,20226,13288,3276
02/18/2021,23,20226,13288,3276
02/18/2021,24,14954,11859,3276
02/19/2021,01,14757,11859,3276
02/19/2021,02,14757,11859,3276
02/19/2021,03,14757,11859,3276
02/19/2021,04,14757,11859,3276
02/19/2021,05,14757,11859,3276
02/19/2021,06,14757,11705,3276
02/19/2021,07,14757,11499,3276
02/19/2021,08,14807,11499,3276
02/19/2021,09,14807,11499,3276
02/19/2021,10,15345,11499,3276
02/19/2021,11,15106,11499,3276
02/19/2021,12,15106,11499,3276
02/19/2021,13,14923,10755,3204
02/19/2021,14,14923,10716,3204
02/19/2021,15,14857,10716,3204
02/19/2021,16,14964,10407,3204
02/19/2021,17,14964,10036,3204
02/19/2021,18,14964,8311,3204
02/19/2021,19,14888,7951,3204
02/19/2021,20,14888,7811,3204
02/19/2021,21,14888,7811,3204
02/19/2021,22,14748,7811,3204
02/19/2021,23,15611,7811,3204
02/19/2021,24,14168,6389,3078
02/20/2021,01,14177,6353,3078
02/20/2021,02,14177,6353,3078
02/20/2021,03,14177,6353,3078
02/20/2021,04,14177,6353,3078
02/20/2021,05,14177,6353,3078
02/20/2021,06,14177,6199,3078
02/20/2021,07,14267,6199,3078
02/20/2021,08,14267,6199,3078
02/20/2021,09,14267,6199,3078
02/20/2021,10,13499,6199,3078
02/20/2021,11,13499,6002,3078
02/20/2021,12,13499,6002,3078
02/20/2021,13,13796,5192,3078
02/20/2021,14,13796,5192,3078
02/20/2021,15,13796,5192,3078
02/20/2021,16,13796,5192,3078
02/20/2021,17,13796,5068,3078
02/20/2021,18,13796,4912,3078
02/20/2021,19,13796,4912,3078
02/20/2021,20,13796,4912,3078
02/20/2021,21,13796,4912,3078
02/20/2021,22,13796,4912,3078
02/20/2021,23,13796,4912,3078
02/20/2021,24,12334,4912,3078
02/21/2021,01,12515,4912,3078
02/21/2021,02,12515,4912,3078
02/21/2021,03,12515,4912,3078
02/21/2021,04,12515,4912,3078
02/21/2021,05,12515,4912,3078
02/21/2021,06,12515,4912,3078
02/21/2021,07,12515,4912,3078
