Date,HourEnding,TotalResourceMW,TotalIRRMW,TotalNewEquipResourceMW
02/17/2021,16,29527,18523,3276
02/17/2021,17,28537,17381,3276
02/17/2021,18,27126,16845,3276
02/17/2021,19,27126,16743,3276
02/17/2021,20,27126,16897,3276
02/17/2021,21,27126,16847,3276
02/17/2021,22,27126,16847,3276
02/17/2021,23,26792,16847,3276
02/17/2021,24,19622,15003,3276
02/18/2021,01,19622,14952,3276
02/18/2021,02,19622,14952,3276
02/18/2021,03,19622,14952,3276
02/18/2021,04,19622,14952,3276
02/18/2021,05,19622,14952,3276
02/18/2021,06,19622,14798,3276
02/18/2021,07,19622,14798,3276
02/18/2021,08,19622,14877,3276
02/18/2021,09,19632,14717,3276
02/18/2021,10,17647,14717,3276
02/18/2021,11,17330,14417,3276
02/18/2021,12,17330,14417,3276
02/18/2021,13,17161,14268,3276
02/18/2021,14,17161,14268,3276
02/18/2021,15,17161,14268,3276
02/18/2021,16,17161,14138,3276
02/18/2021,17,17123,13076,3276
02/18/2021,18,17123,13034,3276
02/18/2021,19,17123,12134,3276
02/18/2021,20,17123,12494,3276
02/18/2021,21,17123,12396,3276
02/18/2021,22,17123,12396,3276
02/18/2021,23,17123,12396,3276
02/18/2021,24,14971,11254,3276
02/19/2021,01,14774,11254,3276
02/19/2021,02,14774,11254,3276
02/19/2021,03,14774,11254,3276
02/19/2021,04,14774,11254,3276
02/19/2021,05,14774,11254,3276
02/19/2021,06,14774,11100,3276
02/19/2021,07,14774,10894,3276
02/19/2021,08,14824,10894,3276
02/19/2021,09,14824,10894,3276
02/19/2021,10,15362,10894,3276
02/19/2021,11,15123,10894,3276
02/19/2021,12,15123,10894,3276
02/19/2021,13,14940,10150,3204
02/19/2021,14,14940,10111,3204
02/19/2021,15,14874,10111,3204
02/19/2021,16,14981,9802,3204
02/19/2021,17,14981,9431,3204
02/19/2021,18,14981,7672,3204
02/19/2021,19,14905,7384,3204
02/19/2021,20,14905,7244,3204
02/19/2021,21,14905,7244,3204
02/19/2021,22,14765,7244,3204
02/19/2021,23,15628,7244,3204
02/19/2021,24,14205,5908,3078
02/20/2021,01,14214,5872,3078
02/20/2021,02,14214,5872,3078
02/20/2021,03,14214,5872,3078
02/20/2021,04,14214,5872,3078
02/20/2021,05,14214,5872,3078
02/20/2021,06,14214,5718,3078
02/20/2021,07,14304,5718,3078
02/20/2021,08,14304,5718,3078
02/20/2021,09,14304,5718,3078
02/20/2021,10,13536,5718,3078
02/20/2021,11,13536,5521,3078
02/20/2021,12,13536,5521,3078
02/20/2021,13,13833,4891,3078
02/20/2021,14,13833,4891,3078
02/20/2021,15,13833,4891,3078
02/20/2021,16,13833,4891,3078
02/20/2021,17,13833,4767,3078
02/20/2021,18,13833,4611,3078
02/20/2021,19,13833,4611,3078
02/20/2021,20,13833,4611,3078
02/20/2021,21,13833,4611,3078
02/20/2021,22,13833,4611,3078
02/20/2021,23,13833,4611,3078
02/20/2021,24,12371,4611,3078
02/21/2021,01,12552,4611,3078
02/21/2021,02,12552,4611,3078
02/21/2021,03,12552,4611,3078
02/21/2021,04,12552,4611,3078
02/21/2021,05,12552,4611,3078
02/21/2021,06,12552,4611,3078
02/21/2021,07,12552,4611,3078
02/21/2021,08,12552,4611,3078
02/21/2021,09,12552,4611,3078
02/21/2021,10,12552,4611,3078
02/21/2021,11,12552,4611,3078
02/21/2021,12,12452,4611,3078
02/21/2021,13,12452,4611,3078
02/21/2021,14,12452,4611,3078
02/21/2021,15,12452,4580,3078
02/21/2021,16,12452,4580,3078
02/21/2021,17,12452,4580,3078
02/21/2021,18,12452,4580,3078
02/21/2021,19,12442,4580,3078
02/21/2021,20,12442,4580,3078
02/21/2021,21,12442,4580,3078
02/21/2021,22,12442,4580,3078
02/21/2021,23,12442,4580,3078
02/21/2021,24,12014,4580,3078
02/22/2021,01,12993,4580,3078
02/22/2021,02,12993,4580,3078
02/22/2021,03,12993,4580,3078
02/22/2021,04,12993,4580,3078
02/22/2021,05,12993,4580,3078
02/22/2021,06,12920,4580,3078
02/22/2021,07,12960,4580,3078
02/22/2021,08,13010,4580,3078
02/22/2021,09,13010,4580,3078
02/22/2021,10,13010,4580,3078
02/22/2021,11,13044,4580,3078
02/22/2021,12,13044,4580,3078
02/22/2021,13,13044,4580,2968
02/22/2021,14,13044,4580,2968
02/22/2021,15,13044,4580,2968
02/22/2021,16,13044,4580,2968
02/22/2021,17,12704,4580,2968
02/22/2021,18,12704,4491,2968
02/22/2021,19,12704,4140,2968
02/22/2021,20,12704,4140,2968
02/22/2021,21,12704,4140,2722
02/22/2021,22,12704,4140,2722
02/22/2021,23,12095,4140,2722
02/22/2021,24,11643,4140,2722
02/23/2021,01,11641,4140,2722
02/23/2021,02,11641,4140,2722
02/23/2021,03,11641,4140,2722
02/23/2021,04,11641,4140,2722
02/23/2021,05,11460,4140,2722
02/23/2021,06,11460,4140,2722
02/23/2021,07,11460,4140,2722
02/23/2021,08,11442,4140,2722
02/23/2021,09,11442,4140,2722
02/23/2021,10,11442,4140,2722
02/23/2021,11,11442,4140,2722
02/23/2021,12,11442,4140,2722
02/23/2021,13,11442,4140,2722
02/23/2021,14,11442,4140,2722
02/23/2021,15,11442,4140,2722
02/23/2021,16,11442,4140,2722
02/23/2021,17,11442,4140,2722
02/23/2021,18,11442,4140,2722
02/23/2021,19,10884,4140,2722
02/23/2021,20,10703,4140,2722
02/23/2021,21,10703,4140,2722
02/23/2021,22,10703,4140,2722
02/23/2021,23,10703,4140,2722
02/23/2021,24,10448,4140,2722
02/24/2021,01,10513,4140,2722
02/24/2021,02,10513,4140,2722
02/24/2021,03,10513,4140,2722
02/24/2021,04,10513,4140,2722
02/24/2021,05,10513,4140,2722
02/24/2021,06,10513,4140,2722
02/24/2021,07,10513,3929,2722
02/24/2021,08,10513,3841,2722
02/24/2021,09,10513,3841,2722
02/24/2021,10,10513,3841,2722
02/24/2021,11,10513,3841,2673
02/24/2021,12,10513,3841,2673
02/24/2021,13,10513,3841,2673
02/24/2021,14,10513,3841,2673
02/24/2021,15,10513,3841,2673
